,Result,Distance,BatAge,LOB,ERA_Starting,ERA_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing
0,1,2169.84,29.6,1071,3.98,5.98,140,81,0,0,167.1,102.1
1,1,2169.84,29.6,1071,2.58,7.09,300,39,1,0,223,59.2
2,0,-2169.84,29.6,1071,2.58,3.99,300,79,1,0,223,67.2
3,1,-2169.84,29.6,1071,2.5,4.91,326,118,0,0,212.1,95.1
4,1,-2169.84,29.6,1071,3.95,7.11,40,72,0,0,41,81
6,0,2169.84,29.6,1071,3.71,4.91,48,118,0,0,60.2,95.1
7,1,2169.84,29.6,1071,2.5,4.58,326,101,0,0,212.1,96.1
8,1,2169.84,29.6,1071,3.98,7.09,140,39,0,0,167.1,59.2
9,1,-2169.84,29.6,1071,2.96,7.11,93.5,72,0,0,104.1,81
10,1,-2169.84,29.6,1071,3.98,5.38,140,55,0,0,167.1,72
11,1,-2169.84,29.6,1071,5.86,6.42,68,75,0,0,70.2,82.2
12,1,-2169.84,29.6,1071,2.96,6.42,93.5,75,0,0,104.1,82.2
13,0,-2169.84,29.6,1071,3.98,5.03,140,42,0,0,167.1,39.1
14,1,-2169.84,29.6,1071,2.58,2.75,300,13,1,0,223,19.2
15,0,2169.84,29.6,1071,3.98,6.42,140,75,0,0,167.1,82.2
16,1,2169.84,29.6,1071,3.95,5.03,40,42,0,0,41,39.1
17,1,2169.84,29.6,1071,2.58,7.11,300,72,1,0,223,81
18,1,2169.84,29.6,1071,2.5,5.38,326,55,0,0,212.1,72
19,1,-2012.74,28.4,1027,2.5,5.61,326,67,0,0,212.1,110.2
20,0,-2012.74,28.4,1027,5.86,5.015,68,54,0,0,70.2,74.65
21,1,-2012.74,28.4,1027,3.98,4.79,140,162,0,0,167.1,161.2
22,1,2012.74,28.4,1027,3.98,4.79,140,162,0,0,167.1,161.2
23,1,2012.74,28.4,1027,5.445,5.595,57.5,41,0,0,65.2,54.65
24,0,2012.74,28.4,1027,2.58,4.92,300,80,1,0,223,82.1
25,1,2578.08,27.7,1124,2.5,5.52,326,143,0,0,212.1,174.1
26,1,2578.08,27.7,1124,5.59,5.43,19,49,0,0,19.1,56.1
27,0,2578.08,27.7,1124,3.98,4.4,140,218,0,1,167.1,147.1
28,1,-2578.08,27.7,1124,3.98,4.4,140,218,0,1,167.1,147.1
29,1,-2578.08,27.7,1124,4.12,4.28,96,128,0,0,91.2,107.1
30,0,-2578.08,27.7,1124,2.58,3.81,300,213,1,0,223,203.1
31,1,-1513.59,26.5,1050,4.12,4.58,96,20,0,0,91.2,19.2
32,1,-1513.59,26.5,1050,2.58,7.98,300,41,1,0,223,58.2
33,0,-1513.59,26.5,1050,2.5,4.72,326,114,0,0,212.1,187
34,0,-1513.59,26.5,1050,5.59,3.41,19,228,0,2,19.1,176.2
35,1,1513.59,26.5,1050,2.96,5.79,93.5,81,0,0,104.1,73
36,0,1513.59,26.5,1050,4.83,4.72,72,114,0,0,69,187
37,0,1513.59,26.5,1050,3.98,6.59,140,46,0,0,167.1,69.2
38,1,-1522.98,27.2,1224,2.5,3.81,326,143,0,0,212.1,141.2
39,1,-1522.98,27.2,1224,5.59,4.46,19,165,0,0,19.1,171.2
40,0,-1522.98,27.2,1224,3.98,3.46,140,150,0,1,167.1,177
41,0,1439.67,27.2,1179,3.98,3.4,140,226,0,0,167.1,190.2
42,0,1439.67,27.2,1179,2.58,3.89,300,167,1,0,223,166.2
43,0,1439.67,27.2,1179,2.5,5.14,326,129,0,0,212.1,129.2
44,0,-1794.85,29.4,1147,2.5,5.09,326,126.5,0,0.5,212.1,106.15
45,0,-1794.85,29.4,1147,4.7,5.8,82,38,0,0,74.2,35.2
46,1,-1794.85,29.4,1147,4.12,3.28,96,259,0,2,91.2,214.1
47,1,-1794.85,29.4,1147,3.98,5.29,140,96,0,1,167.1,80
48,1,1794.85,29.4,1147,2.58,3.28,300,259,1,2,223,214.1
49,0,1794.85,29.4,1147,3.95,3.81,40,88,0,1,41,115.2
50,1,1794.85,29.4,1147,2.5,4.5,326,2,0,0,212.1,4
51,1,1415.17,28.7,1067,3.95,4.76,40,175,0,1,41,174
52,1,1415.17,28.7,1067,3.98,7.25,140,57,0,0,167.1,89.1
53,1,-1415.17,28.7,1067,2.96,4.76,93.5,175,0,1,104.1,174
54,1,-1415.17,28.7,1067,2.5,7.25,326,57,0,0,212.1,89.1
56,1,1781.36,27.9,1071,3.98,9.3,140,25,0,0,167.1,40.2
57,1,1781.36,27.9,1071,2.58,5.77,300,45,1,0,223,57.2
58,1,-1781.36,27.9,1071,3.98,9.795,140,26,0,0,167.1,33.6
59,1,-1781.36,27.9,1071,5.445,4.61,57.5,146,0,0,65.2,148.1
60,0,-1781.36,27.9,1071,2.58,4.49,300,125,1,0,223,144.1
61,1,-1781.36,27.9,1071,2.5,6.91,326,82,0,0,212.1,112
63,0,-1037.17,28.6,1063,4.7,4.34,82,115,0,0,74.2,130.2
64,1,-1037.17,28.6,1063,4.12,6.33,96,109,0,0,91.2,123.2
65,1,1037.17,28.6,1063,2.5,4.34,326,115,0,0,212.1,130.2
66,1,1037.17,28.6,1063,2.96,5.155,93.5,34.5,0,0,104.1,45.5
68,1,-1614.32,28.8,1106,4.12,5.29,96,115,0,0,91.2,85
69,0,-1614.32,28.8,1106,2.58,3.62,300,143,1,0,223,121.2
70,1,1614.32,28.8,1106,2.5,3.72,326,117,0,0,212.1,111.1
71,0,1614.32,28.8,1106,2.96,3.905,93.5,73,0,0,104.1,70.15
72,0,-1702.18,28.2,1087,4.12,3.51,96,178,0,0,91.2,159
73,1,-1702.18,28.2,1087,3.98,4.01,140,140,0,0,167.1,146
74,1,-1702.18,28.2,1087,2.58,6.39,300,10,1,0,223,25.1
75,0,1702.18,28.2,1087,2.58,3.51,300,178,1,0,223,159
76,1,1702.18,28.2,1087,2.5,4.01,326,140,0,0,212.1,146
77,0,1702.18,28.2,1087,4.7,5.12,82,135,0,0,74.2,165.1
78,0,1702.18,28.2,1087,4.12,3.68,96,195,0,0,91.2,200.1
79,1,-2293.76,27.2,1100,2.58,4.45,300,149,1,1,223,182
80,1,-2293.76,27.2,1100,2.5,4.55,326,37,0,0,212.1,31.2
81,1,-2293.76,27.2,1100,4.7,3.82,82,186,0,0,74.2,150.2
82,0,2293.76,27.2,1100,5.86,4.17,68,98,0,0,70.2,69
83,0,2293.76,27.2,1100,4.12,3.82,96,186,0,0,91.2,150.2
84,0,2293.76,27.2,1100,3.98,4.45,140,149,0,1,167.1,182
85,1,2293.76,27.2,1100,2.58,4.91,300,140,1,0,223,161.1
86,1,-2624.74,28,1085,4.7,2.63,82,103,0,0,74.2,96
87,1,-2624.74,28,1085,3.98,5.595,140,41,0,0,167.1,54.65
89,1,2624.74,28,1085,4.7,6.85,82,11,0,0,74.2,23.2
90,0,2624.74,28,1085,3.98,2.63,140,103,0,0,167.1,96
92,1,2624.74,28,1085,2.58,3.89,300,90,1,0,223,176
93,1,2624.74,28,1085,2.5,3.81,326,141,0,0,212.1,144
94,1,-2624.74,28,1085,2.5,4.55,326,74.5,0,0,212.1,81.55
96,1,-2624.74,28,1085,2.58,3.81,300,141,1,0,223,144
98,0,2624.74,28,1085,2.58,4.41,300,79,1,0,223,82.55
99,0,2624.74,28,1085,4,3.81,18,141,0,0,18,144
100,1,2624.74,28,1085,2.96,3.89,93.5,90,0,0,104.1,176
102,0,-2624.74,28,1085,3.98,4.41,140,79,0,0,167.1,82.55
103,0,-2624.74,28,1085,3.95,3.89,40,90,0,0,41,176
104,0,-2624.74,28,1085,2.58,4.55,300,74.5,1,0,223,81.55
105,1,-1831.66,27.8,1071,2.5,5.38,326,113,0,0,212.1,145.2
106,0,-1831.66,27.8,1071,5.86,4.91,68,41,0,0,70.2,73.1
107,0,-1831.66,27.8,1071,4.12,4.44,96,157,0,0,91.2,170.1
108,1,3039.78,29.8,1084,3.98,5.71,140,92,0,0,167.1,121.1
109,1,3039.78,29.8,1084,2.58,6.4,300,57,1,0,223,71.2
110,1,3039.78,29.8,1084,2.5,3.99,326,147,0,0,212.1,203
111,1,3039.78,29.8,1084,5.59,4.21,19,23.5,0,0,19.1,27.55
112,1,3039.78,29.8,1084,3.98,7.71,140,2,0,0,167.1,4.2
113,0,3039.78,29.8,1084,4.12,4.31,96,63.5,0,0.5,91.2,98.5
114,1,3039.78,29.8,1084,2.58,8.6975,300,16.75,1,0,223,12.05
115,1,-3039.78,29.8,1084,3.98,4.66,140,10,0,0,167.1,9.2
116,1,-3039.78,29.8,1084,2.58,5.46,300,116,1,1,223,161.2
117,1,-3039.78,29.8,1084,2.5,3.99,326,147,0,0,212.1,203
118,1,-3039.78,29.8,1084,3.98,5.46,140,116,0,1,167.1,161.2
119,1,-3039.78,29.8,1084,5.445,3.99,57.5,147,0,0,65.2,203
120,1,-3039.78,29.8,1084,2.58,2.35,300,27,1,0,223,23
121,1,-3039.78,29.8,1084,3.98,3.99,140,147,0,0,167.1,203
122,1,-3039.78,29.8,1084,5.86,6,68,11,0,0,70.2,21
123,1,-3039.78,29.8,1084,2.58,5.46,300,116,1,1,223,161.2
124,1,-3039.78,29.8,1084,2.5,6.4,326,57,0,0,212.1,71.2
125,1,3039.78,29.8,1084,2.5,2.7,326,5,0,0,212.1,6.2
126,1,3039.78,29.8,1084,2.96,5.46,93.5,116,0,1,104.1,161.2
127,0,1096.82,28,1101,3.95,2.75,40,231,0,0,41,196.1
128,1,1096.82,28,1101,2.5,3.7,326,52,0,0,212.1,48.2
129,1,1096.82,28,1101,3.98,3.35,140,136,0,0,167.1,174.2
130,1,1260.34,27.1,1156,2.58,4.29,300,147,1,0,223,107
131,0,1260.34,27.1,1156,2.5,3.05,326,240,0,0,212.1,194.2
132,0,1260.34,27.1,1156,4.7,1.78,82,76,0,0,74.2,60.2
133,0,1260.34,27.1,1156,3.98,3.85,140,114,0,0,167.1,133.1
134,1,-1260.34,27.1,1156,2.58,3.05,300,240,1,0,223,194.2
135,1,-1260.34,27.1,1156,2.5,4.13,326,117,0,0,212.1,141.2
136,0,-1260.34,27.1,1156,2.96,4.17,93.5,58,0,0,104.1,49.2
137,1,372.06,27.4,1093,4.12,6.435,96,60,0,0,91.2,56.65
