Game Date,Opp_x,Result,Starting Pitcher,Opposing Pitcher,Opp_y,Hm/Aw
2018-03-29,TEX,1,Justin Verlander,Cole Hamels,TEX,Away
2018-03-30,TEX,0,Dallas Keuchel,Doug Fister,TEX,Away
2018-03-31,TEX,1,Lance McCullers,Matt Moore,TEX,Away
2018-04-01,TEX,1,Gerrit Cole,Mike Minor,TEX,Away
2018-04-02,BAL,1,Charlie Morton,Chris Tillman,BAL,Home
2018-04-03,BAL,1,Justin Verlander,Mike Wright,BAL,Home
2018-04-04,BAL,1,Dallas Keuchel,Dylan Bundy,BAL,Home
2018-04-06,SDN,0,Lance McCullers,Luis Perdomo,SDN,Home
2018-04-07,SDN,1,Gerrit Cole,Bryan Mitchell,SDN,Home
2018-04-08,SDN,1,Charlie Morton,Tyson Ross,SDN,Home
2018-04-09,MIN,1,Justin Verlander,Lance Lynn,MIN,Away
2018-04-10,MIN,0,Dallas Keuchel,Jake Odorizzi,MIN,Away
2018-04-11,MIN,0,Lance McCullers,Kyle Gibson,MIN,Away
2018-04-13,TEX,1,Gerrit Cole,Cole Hamels,TEX,Home
2018-04-14,TEX,0,Charlie Morton,Mike Minor,TEX,Home
2018-04-15,TEX,0,Justin Verlander,Bartolo Colon,TEX,Home
2018-04-16,SEA,0,Dallas Keuchel,James Paxton,SEA,Away
2018-04-17,SEA,1,Lance McCullers,Ariel Miranda,SEA,Away
2018-04-18,SEA,1,Gerrit Cole,Mike Leake,SEA,Away
2018-04-19,SEA,1,Charlie Morton,Marco Gonzales,SEA,Away
2018-04-20,CHA,1,Justin Verlander,James Shields,CHA,Away
2018-04-21,CHA,1,Dallas Keuchel,Lucas Giolito,CHA,Away
2018-04-22,CHA,1,Lance McCullers,Reynaldo Lopez,CHA,Away
2018-04-23,ANA,0,Gerrit Cole,Tyler Skaggs,ANA,Home
2018-04-24,ANA,0,Charlie Morton,Shohei Ohtani,ANA,Home
2018-04-25,ANA,1,Justin Verlander,Nick Tropeano,ANA,Home
2018-04-27,OAK,0,Dallas Keuchel,Sean Manaea,OAK,Home
2018-04-28,OAK,1,Lance McCullers,Daniel Mengden,OAK,Home
2018-04-29,OAK,1,Gerrit Cole,Trevor Cahill,OAK,Home
2018-04-30,NYA,1,Charlie Morton,Sonny Gray,NYA,Home
2018-05-01,NYA,0,Justin Verlander,Jordan Montgomery,NYA,Home
2018-05-02,NYA,0,Dallas Keuchel,Luis Severino,NYA,Home
2018-05-03,NYA,0,Lance McCullers,Masahiro Tanaka,NYA,Home
2018-05-04,ARI,1,Gerrit Cole,Kris Medlen,ARI,Away
2018-05-05,ARI,0,Charlie Morton,Zack Greinke,ARI,Away
2018-05-06,ARI,0,Justin Verlander,Matt Koch,ARI,Away
2018-05-07,OAK,1,Dallas Keuchel,Brett Anderson,OAK,Away
2018-05-08,OAK,1,Lance McCullers,Sean Manaea,OAK,Away
2018-05-09,OAK,1,Gerrit Cole,Daniel Mengden,OAK,Away
2018-05-11,TEX,0,Justin Verlander,Cole Hamels,TEX,Home
2018-05-12,TEX,1,Charlie Morton,Doug Fister,TEX,Home
2018-05-13,TEX,1,Dallas Keuchel,Matt Moore,TEX,Home
2018-05-14,ANA,0,Lance McCullers,Andrew Heaney,ANA,Away
2018-05-15,ANA,1,Gerrit Cole,Jaime Barria,ANA,Away
2018-05-16,ANA,1,Justin Verlander,Garrett Richards,ANA,Away
2018-05-18,CLE,1,Charlie Morton,Mike Clevinger,CLE,Home
2018-05-19,CLE,0,Dallas Keuchel,Corey Kluber,CLE,Home
2018-05-20,CLE,1,Lance McCullers,Carlos Carrasco,CLE,Home
2018-05-22,SFN,1,Gerrit Cole,Andrew Suarez,SFN,Home
2018-05-23,SFN,1,Justin Verlander,Jeff Samardzija,SFN,Home
2018-05-24,CLE,1,Charlie Morton,Mike Clevinger,CLE,Away
2018-05-25,CLE,1,Dallas Keuchel,Corey Kluber,CLE,Away
2018-05-26,CLE,0,Lance McCullers,Carlos Carrasco,CLE,Away
2018-05-27,CLE,0,Gerrit Cole,Trevor Bauer,CLE,Away
2018-05-28,NYA,1,Justin Verlander,Domingo German,NYA,Away
2018-05-29,NYA,0,Charlie Morton,CC Sabathia,NYA,Away
2018-05-30,NYA,0,Dallas Keuchel,Luis Severino,NYA,Away
2018-05-31,BOS,1,Lance McCullers,Drew Pomeranz,BOS,Home
2018-06-01,BOS,1,Gerrit Cole,Chris Sale,BOS,Home
2018-06-02,BOS,0,Justin Verlander,David Price,BOS,Home
