Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
ARI,29.66666667,80.95238095,254.1428571,37.71428571,66,13.52380952,1.857142857,10.23809524,35.95238095,4.142857143,0.666666667,25.38095238,57.85714286,0.238095238,1.857142857,3.333333333,0.232333333,0.306571429,0.403761905,0.710333333
ATL,29.8,83.3,262.65,41.95,70.05,13.55,1.45,12.45,40.5,4.45,1.4,30.55,65.4,0.15,1.7,2.9,0.23755,0.31415,0.4206,0.73475
BAL,27.875,70.70833333,232.5416667,30.33333333,57.41666667,10.5,1.041666667,8.875,29.08333333,3.5,1.25,19.20833333,59.58333333,0.791666667,1.541666667,2.958333333,0.210416667,0.280833333,0.341958333,0.622791667
BOS,29.85714286,79.0952381,273.7619048,42.80952381,73.95238095,16.42857143,1.285714286,11.66666667,40.76190476,3.238095238,1.428571429,28.0952381,65.28571429,0.857142857,2.095238095,2.333333333,0.229380952,0.299380952,0.375380952,0.674761905
CHN,29.39130435,73.47826087,224.0869565,34.86956522,58.2173913,11.43478261,1.130434783,11.08695652,33.04347826,1.956521739,1.043478261,24.69565217,57.26086957,0.304347826,1.608695652,3.52173913,0.221608696,0.300130435,0.389956522,0.690086957
CIN,29.47826087,75.26086957,223,29.65217391,55.86956522,10,1.130434783,9.782608696,28.95652174,3.260869565,1.565217391,20.95652174,55.7826087,0.086956522,1.434782609,3.869565217,0.248521739,0.321304348,0.418913043,0.740217391
CLE,28.80769231,63.07692308,208,29.57692308,52.03846154,11,0.692307692,8.576923077,28.11538462,3.961538462,1.346153846,21.65384615,50.84615385,1.461538462,1.769230769,1.923076923,0.203653846,0.275653846,0.352346154,0.628
COL,29.42857143,80.66666667,256.9047619,39,69.80952381,15.19047619,1.904761905,10.66666667,37.19047619,3.380952381,1.476190476,22.66666667,65.42857143,0.428571429,2.047619048,2.047619048,0.233238095,0.293666667,0.402333333,0.696
CHA,28.59090909,73.45454545,250.5,32.18181818,65.54545455,11.81818182,0.909090909,8.272727273,30.63636364,2.863636364,1.272727273,17.18181818,69.86363636,1.545454545,1.454545455,3,0.228727273,0.287090909,0.350727273,0.637818182
DET,28.63636364,71.77272727,251.1818182,26.36363636,60.40909091,13.27272727,1.863636364,6.772727273,25.27272727,2.590909091,0.909090909,17.77272727,71.81818182,0.409090909,1.909090909,2.181818182,0.216045455,0.27,0.347227273,0.617227273
HOU,28.9047619,79.04761905,266.3809524,43.76190476,73.19047619,15.38095238,1.333333333,13.71428571,42.42857143,3.19047619,1.238095238,30.66666667,55,0.428571429,2.714285714,3.142857143,0.250619048,0.328666667,0.447095238,0.775761905
KCA,28.125,66.29166667,228.2083333,28.79166667,56.41666667,11.70833333,1.666666667,6.75,27.25,4.875,1.625,18.95833333,58.20833333,0.916666667,1.75,2.458333333,0.227708333,0.289875,0.348083333,0.637958333
ANA,29.74074074,62.11111111,204.5925926,28.48148148,50.62962963,9.925925926,0.777777778,8.148148148,27.18518519,2.407407407,0.740740741,21.66666667,46.96296296,0.148148148,1.555555556,2.481481481,0.199555556,0.276703704,0.33462963,0.611333333
LAN,29.5,77.45454545,236.0909091,39.5,62.13636364,13.40909091,0.909090909,12.59090909,38.36363636,2.590909091,0.454545455,27,56.18181818,0.090909091,2.045454545,3.681818182,0.228409091,0.303,0.411818182,0.714818182
MIA,29.48,67.84,210.08,24.24,51.92,10.4,0.72,5.84,23.28,2.2,1.2,15.56,52.64,0.32,1.32,2.84,0.22136,0.27552,0.34788,0.6234
MIL,29.23809524,83.52380952,250.952381,36.04761905,63.28571429,12.9047619,0.80952381,11.80952381,34.76190476,4.80952381,1.19047619,29.52380952,67.42857143,0.238095238,1.80952381,3.428571429,0.229952381,0.31747619,0.414619048,0.732095238
MIN,28.9,81.75,285.9,46.85,77.35,15.9,1.15,15.35,45.3,1.4,1.05,26.15,66.3,0.35,2.05,4.05,0.254,0.32715,0.4559,0.78305
