,Astros-SO,Astros-AVG,Astros-HBP,Astros-SH,Astros-HR,Astros-RBI,Astros-R,Astros-H,Result,Home,Away,SO,AVG,HBP,SH,HR,RBI,R,H,ERA-Starting ,ERA-Opposing,WHIP-Starting,WHIP-Opposing,K-Starting,K-Opposing
0,56.95,0.23908452400000002,3.0964285714999997,0.5642857145,11.982142855,40.289285715,41.80595238,71.295238095,0,HOU,ANA,47.388888885,0.217888889,2.5925925925,0.2037037035,8.037037037,26.370370375,27.574074075,49.796296295,2.69,4.1549999999999985,0.96,1.3,0.96,1.3
1,56.95,0.23908452400000002,3.0964285714999997,0.5642857145,11.982142855,40.289285715,41.80595238,71.295238095,0,HOU,ANA,47.388888885,0.217888889,2.5925925925,0.2037037035,8.037037037,26.370370375,27.574074075,49.796296295,3.09,3.31,1.12,1.16,1.12,1.16
2,56.95,0.23908452400000002,3.0964285714999997,0.5642857145,11.982142855,40.289285715,41.80595238,71.295238095,1,HOU,ANA,47.388888885,0.217888889,2.5925925925,0.2037037035,8.037037037,26.370370375,27.574074075,49.796296295,2.55,7.31,0.8500000000000001,1.53,0.8500000000000001,1.53
3,56.95,0.23908452400000002,3.0964285714999997,0.5642857145,11.982142855,40.289285715,41.80595238,71.295238095,0,ANA,HOU,47.388888885,0.217888889,2.5925925925,0.2037037035,8.037037037,26.370370375,27.574074075,49.796296295,3.86,4.53,1.17,1.245,1.17,1.245
4,56.95,0.23908452400000002,3.0964285714999997,0.5642857145,11.982142855,40.289285715,41.80595238,71.295238095,1,ANA,HOU,47.388888885,0.217888889,2.5925925925,0.2037037035,8.037037037,26.370370375,27.574074075,49.796296295,2.69,4.915,0.96,1.355,0.96,1.355
5,56.95,0.23908452400000002,3.0964285714999997,0.5642857145,11.982142855,40.289285715,41.80595238,71.295238095,1,ANA,HOU,47.388888885,0.217888889,2.5925925925,0.2037037035,8.037037037,26.370370375,27.574074075,49.796296295,2.55,5.985,0.8500000000000001,1.565,0.8500000000000001,1.565
6,56.95,0.23908452400000002,3.0964285714999997,0.5642857145,11.982142855,40.289285715,41.80595238,71.295238095,1,ANA,HOU,47.388888885,0.217888889,2.5925925925,0.2037037035,8.037037037,26.370370375,27.574074075,49.796296295,3.745,4.1549999999999985,1.34,1.3,1.34,1.3
7,56.95,0.23908452400000002,3.0964285714999997,0.5642857145,11.982142855,40.289285715,41.80595238,71.295238095,1,ANA,HOU,47.388888885,0.217888889,2.5925925925,0.2037037035,8.037037037,26.370370375,27.574074075,49.796296295,2.55,7.31,0.8500000000000001,1.53,0.8500000000000001,1.53
8,56.95,0.23908452400000002,3.0964285714999997,0.5642857145,11.982142855,40.289285715,41.80595238,71.295238095,0,ANA,HOU,47.388888885,0.217888889,2.5925925925,0.2037037035,8.037037037,26.370370375,27.574074075,49.796296295,3.86,4.53,1.17,1.245,1.17,1.245
9,56.95,0.23908452400000002,3.0964285714999997,0.5642857145,11.982142855,40.289285715,41.80595238,71.295238095,1,ANA,HOU,47.388888885,0.217888889,2.5925925925,0.2037037035,8.037037037,26.370370375,27.574074075,49.796296295,3.745,4.53,1.34,1.245,1.34,1.245
