p_ball,p_foul,p_pitchout,p_total_strike
63,26,0,104
627,437,0,1327
271,164,0,613
119,54,0,220
319,144,1,606
416,164,0,708
452,272,0,865
486,243,0,866
945,502,1,1630
295,107,0,454
139,83,0,234
959,569,4,2093
185,82,0,322
724,361,0,1313
42,17,0,90
174,81,0,274
57,44,0,122
92,47,0,146
793,447,0,1642
379,175,0,648
257,149,0,482
423,208,0,695
1259,614,0,2188
601,263,0,1033
153,85,0,290
970,440,0,1763
49,22,0,81
415,235,0,813
228,117,0,374
188,86,0,344
281,163,1,581
413,218,0,740
216,132,0,493
152,96,0,305
110,48,0,163
950,524,0,1676
444,203,0,817
139,60,0,209
405,219,0,726
186,112,0,373
935,480,0,1739
189,115,0,404
156,51,0,212
237,201,0,610
149,82,0,287
785,392,0,1599
1212,670,0,2278
303,140,0,548
1052,591,1,2040
56,16,0,71
264,175,0,644
391,261,1,801
38,13,0,79
126,70,0,233
628,302,0,1141
1045,600,0,2147
379,213,0,705
912,417,0,1700
495,314,0,1127
254,111,0,418
639,355,0,1227
168,80,0,306
1057,572,0,2049
99,42,0,163
306,167,0,617
121,75,0,290
34,13,0,65
407,215,0,728
66,35,0,110
69,38,0,117
893,508,0,1879
166,97,1,360
300,182,0,617
703,335,0,1194
141,74,0,241
895,501,0,1808
312,163,0,634
169,80,0,302
81,30,0,133
75,35,0,117
1256,616,0,2318
430,219,0,819
368,149,1,561
403,230,0,704
136,90,0,279
91,44,0,178
225,139,0,449
53,17,0,90
648,371,0,1377
68,40,0,128
239,130,0,494
116,65,0,236
184,126,0,377
46,22,0,111
218,116,0,447
245,101,0,418
227,118,0,440
235,156,0,505
61,31,0,103
148,68,0,236
338,164,0,620
233,101,0,354
1077,472,1,1886
102,76,0,234
40,12,0,68
134,74,0,271
101,65,0,210
69,50,0,145
87,45,0,160
903,489,0,1726
236,99,0,438
208,93,0,372
314,156,0,544
56,16,0,79
49,26,0,67
100,51,0,180
35,13,0,69
613,360,0,1220
528,325,0,1042
119,62,0,203
654,515,0,1586
756,413,0,1533
271,168,0,535
1005,563,1,2074
208,115,0,372
561,297,0,1150
229,126,0,381
215,121,0,414
95,58,0,179
296,157,0,528
283,146,0,572
705,333,0,1286
1048,546,0,1904
918,552,0,2026
414,175,0,716
301,148,0,537
407,214,0,794
153,57,0,233
265,121,0,518
222,160,0,524
333,197,0,669
68,37,0,116
388,206,0,804
1038,423,0,1718
169,65,0,272
288,174,0,594
312,124,0,583
224,118,0,447
473,251,0,858
41,34,0,101
420,197,0,689
245,138,0,540
130,61,1,180
327,187,0,656
220,139,0,497
107,43,0,160
492,203,0,766
391,188,0,715
145,69,0,254
155,56,0,230
121,51,0,212
512,296,0,940
70,24,0,109
354,242,0,771
463,198,0,769
1153,473,1,1942
291,151,0,494
137,69,0,228
984,575,0,2059
182,92,0,349
179,91,0,314
240,85,0,356
346,144,0,635
61,37,0,117
81,37,0,137
217,110,2,378
373,187,0,743
441,209,0,852
200,104,0,355
460,181,0,745
124,51,0,195
220,131,0,400
176,110,0,350
350,188,0,677
66,30,0,94
358,172,1,591
239,108,0,444
67,39,0,136
162,85,0,320
116,50,0,218
327,186,1,632
45,29,0,84
402,239,0,782
267,119,0,472
180,106,0,344
517,353,0,1247
94,70,0,273
453,207,0,794
104,57,0,239
229,136,0,488
130,68,0,224
111,70,0,216
802,547,0,1912
34,17,0,62
156,77,0,259
175,67,0,215
106,44,0,164
992,499,0,1920
325,147,0,543
256,120,0,380
583,365,0,1178
628,357,0,1224
878,529,0,1717
365,179,0,717
383,168,0,632
183,99,0,355
260,151,0,505
93,26,0,135
212,113,0,377
105,50,0,165
112,67,1,251
210,92,0,367
462,226,0,789
542,267,0,972
62,32,0,103
208,94,0,388
265,111,0,416
292,137,0,574
74,37,0,112
381,198,0,739
275,160,0,597
216,133,0,413
414,259,0,896
48,39,0,89
40,12,0,64
298,252,0,754
369,183,0,675
101,56,1,187
34,21,0,65
1029,442,0,1775
773,398,0,1519
231,148,0,455
358,203,0,700
396,170,0,647
942,548,1,1890
74,35,0,131
156,71,0,245
283,151,0,542
72,44,0,128
293,142,0,493
459,242,0,818
113,56,0,227
84,39,1,202
320,196,0,639
536,225,0,960
174,92,0,295
42,32,0,118
1020,645,0,2173
847,561,0,1939
1021,547,0,2208
207,88,0,348
724,353,0,1386
122,64,0,204
304,234,0,764
884,435,0,1703
154,81,0,255
603,340,0,1172
300,207,0,677
189,98,0,375
513,283,0,928
297,151,0,573
97,52,0,168
